Date,News Title,Link
 04 Dec 2020,Envoys of 80 nations to visit firms working on COVID-19 vaccine in Hyd,https://inshorts.com/en/news/envoys-of-80-nations-to-visit-firms-working-on-covid19-vaccine-in-hyd-1607096347493
 04 Dec 2020,3 former US Presidents volunteer to take coronavirus vaccine publicly,https://inshorts.com/en/news/3-former-us-presidents-volunteer-to-take-coronavirus-vaccine-publicly-1607064350652
 04 Dec 2020,"US approves sale of $90 mn worth of military equipment, services to India",https://inshorts.com/en/news/us-approves-sale-of-$90-mn-worth-of-military-equipment-services-to-india-1607091416650
 04 Dec 2020,Monitoring Brahmaputra river amid reports of Chinese construction: India,https://inshorts.com/en/news/monitoring-brahmaputra-river-amid-reports-of-chinese-construction-india-1607081734526
 04 Dec 2020,Can be damaging to our ties: India to Canada High Commission after Trudeau's remarks,https://inshorts.com/en/news/can-be-damaging-to-our-ties-india-to-canada-high-commission-after-trudeaus-remarks-1607075733522
 04 Dec 2020,Trump's lawyer farts during voter fraud hearing; video goes viral,https://inshorts.com/en/news/trumps-lawyer-farts-during-voter-fraud-hearing-video-goes-viral-1607081133500
 04 Dec 2020,Man named Adolf Hitler Uunona wins election in Namibia,https://inshorts.com/en/news/man-named-adolf-hitler-uunona-wins-election-in-namibia-1607079942232
 04 Dec 2020,"US official says UK 'rushed' Covid-19 vaccine approval, apologises",https://inshorts.com/en/news/us-official-says-uk-rushed-covid19-vaccine-approval-apologises-1607061167047
 04 Dec 2020,Dead man banned from his own funeral after body arrives on chair,https://inshorts.com/en/news/dead-man-banned-from-his-own-funeral-after-body-arrives-on-chair-1607070373279
 04 Dec 2020,China did human testing to create biologically enhanced soldiers: US intel chief,https://inshorts.com/en/news/china-did-human-testing-to-create-biologically-enhanced-soldiers-us-intel-chief-1607072045195
 04 Dec 2020,Cobbler makes size-75 winter boots to keep people apart amid COVID-19,https://inshorts.com/en/news/cobbler-makes-size75-winter-boots-to-keep-people-apart-amid-covid19-1607065244293
 04 Dec 2020,Trump helped Mexico get COVID-19 vaccine: President Obrador,https://inshorts.com/en/news/trump-helped-mexico-get-covid19-vaccine-president-obrador-1607076041711
 04 Dec 2020,Will ask all Americans to wear masks for 100 days: Joe Biden,https://inshorts.com/en/news/will-ask-all-americans-to-wear-masks-for-100-days-joe-biden-1607071212737
 04 Dec 2020,Trump govt sues Facebook for favouring immigrants over US workers,https://inshorts.com/en/news/trump-govt-sues-facebook-for-favouring-immigrants-over-us-workers-1607066925390
 04 Dec 2020,US House passes legislation to promote Mahatma Gandhi's legacy,https://inshorts.com/en/news/us-house-passes-legislation-to-promote-mahatma-gandhis-legacy-1607079234370
 04 Dec 2020,"Israel urges citizens to avoid travel to Gulf, cites Iran threat",https://inshorts.com/en/news/israel-urges-citizens-to-avoid-travel-to-gulf-cites-iran-threat-1607092014197
 04 Dec 2020,We will veto a bad Brexit trade deal: France Minister,https://inshorts.com/en/news/we-will-veto-a-bad-brexit-trade-deal-france-minister-1607082291756
 04 Dec 2020,Morrison overreacted to fake photo of soldier: Chinese official,https://inshorts.com/en/news/morrison-overreacted-to-fake-photo-of-soldier-chinese-official-1607080041077
 04 Dec 2020,Bangladesh govt forces Rohingya refugees to relocate to remote island,https://inshorts.com/en/news/bangladesh-govt-forces-rohingya-refugees-to-relocate-to-remote-island-1607063207213
 04 Dec 2020,US should stop abusing the concept of national security: China,https://inshorts.com/en/news/us-should-stop-abusing-the-concept-of-national-security-china-1607077401815
 04 Dec 2020,Progress made in resolving Saudi-led boycott of Qatar: Kuwait,https://inshorts.com/en/news/progress-made-in-resolving-saudiled-boycott-of-qatar-kuwait-1607097300476
 04 Dec 2020,Hope France will get rid of Macron soon: Turkey President Erdogan,https://inshorts.com/en/news/hope-france-will-get-rid-of-macron-soon-turkey-president-erdogan-1607101474129
 04 Dec 2020,Hodgepodge of lies: China on US intel chief's 'greatest threat' claims,https://inshorts.com/en/news/hodgepodge-of-lies-china-on-us-intel-chiefs-greatest-threat-claims-1607090243380
 04 Dec 2020,Alyssa Farah resigns as White House Communications Director,https://inshorts.com/en/news/alyssa-farah-resigns-as-white-house-communications-director-1607068177271
 04 Dec 2020,'World's loneliest elephant' won't live prisoner's life: US singer,https://inshorts.com/en/news/worlds-loneliest-elephant-wont-live-prisoners-life-us-singer-1607084042344
